  0. Quad {238.4063450100582, -450.3845643082225}, {675.046886450069, 661.0757822262851}
     {641.458939212565, 101.64424935602042}, {647.0646202475524, 111.67058596425977}
     {349.8826714499824, 99.59732032037054}, {350.96329352356315, 109.551279296237}
     {456.0948809405315, 639.9276740329215}, {458.37414986729914, 658.8612668815767}
     {453.306244094024, -89.66954917295828}, {457.5333290934832, -87.44584717093987}
     {629.3900727002289, 105.10636635759701}, {637.5854867311962, 114.32673253047983}
     {455.08820430610973, 462.89500561479497}, {457.30361027886545, 467.6734109770596}
     {566.5326599730605, 100.8110826085333}, {566.9571087701645, 110.84219751442014}
     {456.0947814393791, -206.3864788742984}, {458.0499924307843, -203.49738066264894}
     {456.5268532220064, -59.88336347552817}, {460.71530459701046, -59.78163155939791}
     {456.6093506187011, -433.41646956583065}, {459.2989134901754, -417.59146867303764}
     {455.3130594909819, -380.8705112679879}, {457.44784727896473, -370.9558175991156}
     {453.14314861867024, 25.277234903472127}, {457.6878598357236, 33.11362335446853}
     {661.5211938383992, 102.16193827536446}, {670.3142025590873, 107.13237272796187}
     {455.93859872135357, 74.13289497033199}, {458.7549275744483, 81.12012029978712}
     {263.2547628985329, 100.2607145906943}, {265.6593857051595, 109.136480248416}
     {646.7016220594288, 101.09809462087244}, {651.6445770475158, 105.37848680478464}
     {455.420991365059, 620.124354207458}, {460.14106984401826, 642.4065886021895}
     {595.1268838399963, 100.11470464288693}, {597.4548940664321, 109.99561871428546}
     {607.242218192353, 100.62908876966874}, {608.7515167773494, 106.22937970039561}
     {421.5321759359848, 104.09545838324107}, {425.8710138642903, 107.39908013355907}
     {359.61911904151594, 105.27468523772598}, {362.08793316675883, 106.5742146771767}
     {280.02686024380813, 98.72226802581008}, {280.32093219056776, 106.97029949560074}
     {510.1745418610559, 103.50670433170085}, {511.7236582727425, 106.22912085803921}
     {455.0439771504774, 298.1562515663823}, {458.7127876431488, 307.7517549016418}
     {454.20896007050726, 267.24943980021607}, {458.30567193592077, 268.2441981212911}
     {455.51253513533186, -245.62727572450225}, {458.35630407409747, -245.1414282633634}
     {453.46369108817703, -53.94657395999724}, {456.9935284305795, -44.084225077648554}
     {456.32670707765635, -361.0120823986762}, {459.803381171462, -356.03603981199615}
     {447.3267120073905, 100.04499831731789}, {451.2049252084398, 110.17895307347965}
     {455.9733716161706, 553.0763288486819}, {457.80747893522937, 574.4545626311578}
     {578.1370482966876, 104.71462493445638}, {585.082270770118, 112.84762674516537}
     {455.0324610857418, 335.1217774298956}, {458.2480443191144, 341.87721741140933}
     {466.909610703765, 97.42110636924451}, {468.1772033645741, 108.91013590150575}
     {575.103134742483, 100.73597267116713}, {576.2872053420272, 111.24859208629505}
     {414.02443412813477, 104.60922460451752}, {415.2550871023928, 113.84502088482101}
     {268.7046558905566, 102.48523052190149}, {276.29544978822554, 109.23212079269494}
     {398.97232716655566, 105.3047823418907}, {404.1727425985533, 111.33220099766511}
     {456.6441323174685, 324.8270895873543}, {458.3230392317238, 330.12216112206204}
     {456.0967117759964, 237.9852903379359}, {457.2701837324651, 238.85810818016324}
     {238.47562595998667, 103.27589681409813}, {241.5361601905622, 107.74595078949973}
     {454.93927240072844, -51.66003763637452}, {457.11282296062313, -43.90722251998892}
     {456.3382511121189, 375.94796937621277}, {458.21291485040774, 394.03311528293057}
     {456.66073354064497, 208.8883296309499}, {457.93488526817396, 210.3559126577393}
     {433.79922252296785, 98.75123526042321}, {437.29155563517736, 109.48441013037188}
     {419.1723078066144, 103.90127346851784}, {424.18712377354734, 107.23274291643857}
     {539.3549653958582, 99.78674510723201}, {544.8708009998812, 109.3677597251642}
     {506.36630369486926, 96.24870085008125}, {510.7380803530842, 106.6753490336315}
     {455.9868460867176, -4.9717257610641425}, {459.8256984601694, -4.27536924269549}
     {485.46881913091113, 98.5060123626336}, {490.10921338085933, 106.80041510444244}
     {424.1303846410594, 101.30931883618035}, {426.03398431724713, 108.85855878331859}
     {454.97729434705275, 17.542105422970792}, {457.9037682044409, 24.2413648961313}
     {453.393420012324, -58.87116602405706}, {457.52118233354616, -45.98232418238172}
     {455.3278810658938, 188.42548354876453}, {459.3079054318315, 191.16220275733474}
     {405.6973727227853, 98.23494694413444}, {408.7497050634613, 108.90402284401243}
     {331.8082252894635, 101.51757539227503}, {334.4898004921179, 109.21222105155461}
     {449.4756599519493, 104.65735556105903}, {449.8704972110565, 116.55076925432593}
     {259.63855824301766, 99.57002251672407}, {262.9522330400906, 108.29624055047088}
     {454.71677951556427, 36.970081930398635}, {458.6060665882337, 47.407864452939435}
     {325.67564989882, 104.84132842412407}, {330.3352055406967, 115.9268746663809}
     {444.2633690823333, 102.51957489098322}, {444.79635619222336, 111.26703347294149}
     {341.4735590999414, 105.2378662914067}, {346.32752884181843, 112.17399868808128}
     {454.8424107716535, -368.43469433636653}, {457.8105703247167, -348.79215657357463}
     {453.78018102327167, -43.456775548187}, {458.07740482974157, -42.028319901919815}
     {454.57883522970525, -294.24974072300057}, {457.0214425011724, -289.4928928612845}
     {657.1718283936501, 97.0083695438561}, {659.7576403058961, 106.55151788309172}
     {381.0208886543803, 101.60376020779472}, {381.89266970020407, 112.72866828418178}
     {282.73855905310995, 98.73676831032628}, {286.01365400048076, 108.95071438668589}
     {453.65530407535044, -218.69260802847904}, {458.13706598514597, -206.1204151539758}
     {456.42968076112203, 69.8654767374918}, {457.59782387707565, 76.38982406304865}
     {332.8420582345864, 103.28099753645176}, {339.0747076719708, 114.04457797959182}
     {455.673793597918, -338.0208018472817}, {458.45939478625274, -335.90241732725866}
     {329.76670575296265, 99.608509181165}, {332.434465855704, 105.76065024268209}
     {260.2064430559689, 101.70452103484388}, {260.801675880827, 110.52741916697005}
     {454.9119280339085, 344.4419747311856}, {457.7304601999571, 357.0145501573437}
     {251.903775840735, 102.4916036699625}, {257.4741181856692, 105.71633076482881}
